StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
30,1,201001,2.8,21.8,0.59,2.19,0.95,2.1,0,1339,0.45,0.56,-0.26,0.44,0.75,0.41,1.01,14.5,29.2
30,9,201001,2.42,22.4,-0.25,2.39,-0.36,1.86,0,1321,-0.32,0.06,-0.66,-0.08,0.51,0.51,1.52,16,28.8
30,2,201001,2.77,21.9,0.08,1.67,-0.05,0.66,0,1336,0.09,0.1,-0.67,0.22,1.1,0.5,1.07,14.2,29.5
30,4,201001,1.99,31.3,1.6,1.6,-1.58,0.84,0,1045,-1.08,0.63,0.03,-0.15,1.1,0.47,0.84,24.2,38.3
30,7,201001,2.12,20.3,2.45,2.45,-0.59,2.15,0,1386,-0.29,0.22,0.16,0.29,1.04,0.58,1.38,12.5,28
30,8,201001,1.84,19.3,-0.44,0.88,-1.06,0.01,0,1417,-0.72,-0.16,-0.48,-0.35,0.27,0.05,0.71,12.3,26.4
30,10,201001,2.06,22.8,-0.31,1.68,0.09,1.03,0,1308,-0.03,-0.19,-0.93,-0.24,0.33,0.14,0.93,16.3,29.3
30,5,201001,2.5,25.1,1.94,1.94,-0.59,1.33,0,1237,-0.19,0.39,-0.25,0.08,1.25,0.61,1.42,17.2,33.1
30,3,201001,2.42,17.3,-1.11,0.68,-1.29,-0.96,0,1479,-0.79,-0.37,-0.95,-0.46,0.53,0.1,1.18,8.8,25.8
30,6,201001,2.07,20.5,-1.28,0.79,-1.5,-1.02,0,1380,-0.93,-0.71,-1.39,-0.37,0.43,-0.03,1,12.5,28.5
30,8,201002,1.46,21.9,-0.89,-0.89,-1.48,-0.89,0,1207,-0.98,-1.33,-0.7,-0.63,-0.29,-0.1,0.35,15.1,28.7
30,10,201002,2.06,24.5,-0.29,1.49,-0.05,0.79,0,1134,0.16,-0.07,-0.16,-0.81,0.25,0.32,0.64,19.2,29.9
30,2,201002,3.37,24.3,0.47,1.9,1.2,1.31,0,1140,0.81,0.49,0.44,-0.26,1.05,0.86,0.78,18.4,30.3
30,1,201002,1.66,23.4,-0.29,1.67,-0.88,1.14,0,1165,-0.47,-0.1,0.17,-0.64,0.63,0.45,0.64,16.6,30.2
30,3,201002,2.25,20.1,-1.38,-1.38,-1.13,-1.38,0,1257,-0.65,-1.15,-0.72,-0.98,-0.22,0.01,0.75,12.7,27.5
30,9,201002,2.02,23.8,-0.47,1.9,-0.74,1.04,0,1154,-0.38,-0.65,-0.22,-0.7,0.3,0.48,1.19,17.8,29.8
30,4,201002,5.41,32.3,2.39,2.39,2.86,2.39,0,916,1.4,0.31,1.16,0.61,1.31,1.04,0.82,26.4,38.1
30,7,201002,2.72,23,2.42,2.42,0.66,2.33,0,1176,0.52,0.05,0.41,0.3,0.85,0.79,1.15,16.3,29.8
30,5,201002,4.14,28.1,2.52,2.52,2.35,2.52,0,1033,1.29,0.68,0.97,0.1,1.46,1.06,1.17,21.7,34.5
30,6,201002,2.93,24,-1.1,0.77,0.17,-0.88,0,1148,0.18,-0.59,-0.57,-0.86,0.07,0.2,0.64,17.8,30.2
30,10,201003,2.48,38.4,-0.6,1,-1.01,-0.1,0,825,-0.01,0.06,-0.09,-0.42,-0.09,0.09,0.39,29.3,47.5
30,8,201003,1.65,36.4,-1.52,-1.52,-2.17,-1.52,0,887,-0.95,-1.45,-1.63,-0.71,-0.26,-0.14,-0.01,27.5,45.3
30,2,201003,4.63,38.7,0.83,2.12,1.24,1.9,0,815,1.14,1.26,1.08,0.5,0.93,1.18,0.54,28.7,48.7
30,6,201003,3.86,38.4,-0.96,0.71,0.07,-0.81,0,825,0.48,0.46,-0.16,-0.28,0.05,0.28,0.32,28.6,48.2
30,4,201003,10.57,45.4,4.19,4.19,6.16,4.19,0,608,2.8,2.82,2.14,1.93,1.66,1.99,1.26,36.8,54
30,7,201003,3.96,36.4,2.58,2.58,1.23,2.58,0,887,1.02,1.02,0.63,0.84,1.05,1.04,1.01,26.9,45.9
30,5,201003,5.43,42,2.88,2.88,1.87,2.88,0,713,1.39,1.72,1.41,1.12,1.31,1.51,1.11,32.5,51.4
30,3,201003,3.08,34.7,-1.53,-1.53,-0.88,-1.53,0,939,-0.24,-0.6,-1,-0.75,-0.28,0,0.34,24.6,44.8
30,1,201003,2.43,37.3,-0.67,1.09,-1.23,0,0,859,-0.26,-0.56,-0.28,-0.21,0.36,0.31,0.31,26.5,48.1
30,9,201003,2.04,38,-1.08,1.04,-1.99,-0.56,0,837,-0.76,-0.86,-1.03,-0.67,-0.05,0.19,0.86,29.3,46.8
30,4,201004,2.7,54,-0.69,3.07,-2.08,2.21,0,330,-0.66,1.78,2.12,1.54,1.11,1.84,1.25,43.5,64.5
30,10,201004,1.84,50.3,-1.63,-1.63,-3.28,-1.63,0,441,-1.12,-0.84,-0.7,-1.22,-0.55,0.09,0.28,37.6,62.9
30,9,201004,1.77,50.3,-2.23,-2.23,-3.77,-2.23,0,441,-1.37,-1.54,-1.55,-1.5,-0.81,-0.1,0.7,38.6,62
30,3,201004,2.2,45.5,-2.48,-2.48,-3.35,-2.48,0,585,-1.09,-0.96,-1.18,-1.51,-1,-0.05,0.17,32.4,58.6
30,6,201004,1.68,49.2,-2.18,-2.18,-3.96,-2.18,0,474,-1.71,-0.75,-0.54,-1.42,-0.64,0.15,0.09,36.3,62.2
30,1,201004,2.03,49.1,-1.58,-1.58,-2.93,-1.58,0,477,-1.04,-0.98,-1.15,-1.02,-0.12,0.35,0.25,34.5,63.6
30,7,201004,2.8,47.6,1.76,1.76,-1.67,0.98,0,522,-0.07,0.64,0.75,0.49,0.52,1.2,0.99,35.4,59.9
30,5,201004,1.98,52.2,-1.04,1.54,-3.13,0.19,0,384,-1.19,0.37,0.88,0.39,0.41,1.47,0.98,39.2,65.2
30,8,201004,2.14,48,-2.26,-2.26,-2.7,-2.26,0,510,-0.68,-1.2,-1.58,-1.35,-1.01,-0.37,-0.1,36.2,59.9
30,2,201004,2.3,48.8,-0.96,0.94,-2.87,-0.48,0,486,-1,0.23,0.52,-0.17,0.36,1.18,0.46,35.5,62
30,4,201005,2.69,62.5,-1.18,2.19,-1.67,0.67,37,115,-0.56,-0.87,1.26,1.6,1.15,1.63,1.26,52.3,72.6
30,5,201005,2.4,61.2,-1.66,0.66,-2.18,-1.54,34,152,-0.84,-1.39,-0.21,0.43,-0.12,1.16,1.03,48.5,73.9
30,3,201005,2.54,55.6,-2.95,-2.95,-2.15,-2.95,11,302,-0.83,-1.26,-1.3,-1.42,-1.4,-0.78,0.23,42.7,68.5
30,2,201005,2.75,58.2,-1.55,-1.55,-2.09,-1.55,18,229,-0.71,-1.15,-0.32,0.06,-0.44,0.78,0.52,45.2,71.2
30,6,201005,2.61,59,-2.59,-2.59,-1.9,-2.59,26,212,-0.75,-1.6,-1.1,-1.23,-1.24,-0.43,0.17,46.2,71.8
30,1,201005,3.36,57.9,-1.71,-1.71,-0.89,-1.71,22,243,0.01,-0.51,-0.66,-0.48,-1.02,0.26,0.37,44.7,71.1
30,8,201005,1.93,58.4,-2.87,-2.87,-2.53,-2.87,22,227,-0.99,-1.1,-1.63,-1.57,-1.24,-0.9,-0.21,45.9,70.8
30,9,201005,2.8,59.2,-2.42,-2.42,-1.27,-2.42,29,209,-0.28,-0.94,-1.24,-1.16,-1.26,-0.33,0.77,47.9,70.5
30,10,201005,2.79,59.6,-2.02,-2.02,-1.69,-2.02,34,201,-0.29,-0.8,-0.79,-0.78,-1.15,-0.13,0.41,47.7,71.4
